code,name,industry,area,pe,outstanding,totals,timeToMarket
002519,银河电子,通信设备,江苏,49.18,4.44,6.72,20101207
000038,深大通,广告包装,深圳,122.68,0.38,3.27,19940808
300111,向日葵,半导体,浙江,100.75,11.16,11.2,20100827
002241,歌尔股份,元器件,山东,31.07,12.63,15.27,20080522
300050,世纪鼎利,软件服务,广东,63.98,3.28,4.99,20100120
300474,景嘉微,元器件,湖南,137.49,0.67,2.67,20160331
603888,新华网,互联网,北京,110.46,0.52,2.08,20161028
300046,台基股份,半导体,湖北,100.73,1.37,1.42,20100120
000755,山西三维,化工原料,山西,0.0,4.69,4.69,19970627
603309,维力医疗,医疗保健,广东,71.57,0.77,2.0,20150302
002751,易尚展示,家居用品,深圳,446.77,0.76,1.4,20150424
601500,通用股份,汽车配件,江苏,103.6,1.75,7.27,20160919
300548,博创科技,元器件,浙江,123.98,0.21,0.83,20161012
002451,摩恩电气,电气设备,上海,821.4,4.12,4.39,20100720
300527,华舟应急,专用机械,湖北,144.46,1.16,4.63,20160805
300539,横河模具,塑料,浙江,173.31,0.24,0.95,20160830
603843,正平股份,建筑施工,青海,157.78,1.0,4.0,20160905
000757,浩物股份,汽车配件,四川,185.63,3.66,4.52,19970627
300236,上海新阳,染料涂料,上海,145.73,1.94,1.94,20110629
601999,出版传媒,出版业,辽宁,62.32,5.51,5.51,20071221
002476,宝莫股份,化工原料,山东,275.21,6.02,6.12,20100915
300494,盛天网络,互联网,湖北,107.46,0.6,2.4,20151231
603021,山东华鹏,玻璃,山东,113.75,0.64,1.23,20150423
002789,建艺集团,装修装饰,深圳,102.08,0.2,0.81,20160311
002611,东方精工,轻工机械,广东,102.52,2.93,6.42,20110830
300432,富临精工,汽车配件,四川,49.38,1.45,3.6,20150319
300292,吴通控股,通信设备,江苏,56.51,6.24,12.75,20120229
000409,山东地矿,综合类,山东,2623.22,3.58,4.73,19960627
300506,名家汇,建筑施工,深圳,234.34,0.75,3.0,20160324
300541,先进数通,软件服务,北京,264.48,0.3,1.2,20160913
002648,卫星石化,化工原料,浙江,69.06,8.0,8.04,20111228
300031,宝通科技,橡胶,江苏,65.52,2.23,3.97,20091225
300431,暴风集团,互联网,北京,624.68,1.92,2.77,20150324
600746,江苏索普,化工原料,江苏,144.94,3.05,3.06,19960918
300225,金力泰,染料涂料,上海,73.66,3.28,4.7,20110531
002195,二三四五,软件服务,上海,46.91,8.2,19.1,20071212
300528,幸福蓝海,影视音像,江苏,130.52,0.78,3.11,20160808
300145,中金环境,专用机械,浙江,44.49,3.6,6.68,20101209
002240,威华股份,家居用品,广东,0.0,4.2,4.91,20080523
300019,硅宝科技,化工原料,四川,64.01,2.17,3.31,20091030
002785,万里石,其他建材,福建,425.04,0.5,2.0,20151223
600898,三联商社,电器连锁,山东,372.27,2.53,2.53,19960418
600222,太龙药业,中成药,河南,1928.69,5.19,5.74,19991105
300414,中光防雷,元器件,四川,100.63,0.65,1.69,20150513
002494,华斯股份,服饰,河北,570.23,2.57,3.86,20101102
002591,恒大高新,机械基件,江西,0.0,1.67,2.61,20110621
002777,久远银海,软件服务,四川,183.47,0.2,0.8,20151231
002058,威 尔 泰,电器仪表,上海,0.0,1.43,1.43,20060802
603067,振华股份,化工原料,湖北,79.09,0.55,2.2,20160913
002695,煌上煌,食品,江西,127.48,4.53,5.0,20120905
000953,河池化工,农药化肥,广西,0.0,2.94,2.94,19991202
300300,汉鼎宇佑,软件服务,浙江,219.81,2.59,4.59,20120319
000026,飞亚达Ａ,其他商业,深圳,43.08,3.11,4.39,19930603
600828,茂业商业,百货,四川,25.24,5.7,17.32,19940224
300052,中青宝,互联网,深圳,625.74,2.6,2.61,20100211
603313,恒康家居,家居用品,江苏,60.81,0.6,2.4,20161013
002758,华通医药,医药商业,浙江,116.0,0.79,1.4,20150527
300181,佐力药业,中成药,浙江,66.25,3.99,6.09,20110222
603988,中电电机,电气设备,江苏,185.46,0.22,0.8,20141104
300545,联得装备,专用机械,深圳,231.09,0.18,0.71,20160928
300553,集智股份,电器仪表,浙江,178.7,0.12,0.48,20161021
002479,富春环保,火力发电,浙江,51.61,7.3,7.96,20100921
000511,*ST烯碳,矿物制品,辽宁,0.0,11.55,11.55,19930518
002722,金轮股份,纺织机械,江苏,83.64,0.46,1.75,20140128
300434,金石东方,专用机械,四川,266.94,0.34,1.36,20150424
002211,宏达新材,橡胶,江苏,0.0,2.66,4.32,20080201
600321,国栋建设,其他建材,四川,0.0,11.81,15.11,20010524
300512,中亚股份,专用机械,浙江,69.57,0.68,2.7,20160526
300352,北信源,软件服务,北京,462.38,3.78,5.8,20120912
000731,四川美丰,农药化肥,四川,0.0,5.91,5.91,19970617
603023,威帝股份,汽车配件,黑龙江,71.99,1.27,3.6,20150527
002623,亚玛顿,玻璃,江苏,129.54,1.59,1.6,20111013
002718,友邦吊顶,家居用品,浙江,62.34,0.21,0.88,20140128
300087,荃银高科,种植业,安徽,0.0,2.58,3.2,20100526
000510,金路集团,化工原料,四川,321.02,5.63,6.09,19930507
603777,来伊份,其他商业,上海,137.84,0.6,2.4,20161012
000912,泸天化,农药化肥,四川,0.0,5.85,5.85,19990603
002113,天润数娱,互联网,湖南,324.71,4.73,7.54,20070208
002122,天马股份,机械基件,浙江,379.4,10.92,11.88,20070328
300499,高澜股份,专用机械,广东,219.73,0.3,1.2,20160202
600275,武昌鱼,农业综合,湖北,0.0,5.09,5.09,20000810
002175,东方网络,电器仪表,广西,468.69,5.18,7.54,20071012
300411,金盾股份,专用机械,浙江,139.25,0.76,1.6,20141231
300371,汇中股份,电器仪表,河北,121.81,0.36,1.2,20140123
000935,四川双马,水泥,四川,402.47,6.29,7.63,19990824
002124,天邦股份,饲料,浙江,18.71,3.07,6.37,20070403
600647,同达创业,综合类,上海,59.89,1.39,1.39,19930504
002346,柘中股份,电气设备,上海,732.35,0.8,4.42,20100128
300402,宝色股份,专用机械,江苏,0.0,0.66,2.02,20141010
002207,准油股份,石油开采,新疆,0.0,1.77,2.39,20080128
