code,name,industry,area,pe,outstanding,totals,timeToMarket
002290,禾盛新材,家用电器,江苏,157.11,15197.79,24271.23,20090903
000524,岭南控股,酒店餐饮,广东,111.28,26967.16,26967.38,19931118
600463,空港股份,园区开发,北京,102.85,30000.0,30000.0,20040318
002759,天际股份,家用电器,广东,140.04,8055.0,24000.0,20150528
300238,冠昊生物,医疗保健,广东,277.29,18795.31,26579.88,20110706
000518,四环生物,生物制药,江苏,0.0,102953.57,102955.63,19930908
002560,通达股份,电气设备,河南,56.66,26527.81,42914.14,20110303
603569,长久物流,仓储物流,北京,64.94,4001.0,40001.0,20160810
002006,精功科技,专用机械,浙江,94.91,44290.58,45516.0,20040625
000717,*ST韶钢,钢加工,广东,0.0,241952.44,241952.44,19970508
300048,合康变频,电气设备,北京,36.25,62863.46,78728.67,20100120
002351,漫步者,电脑设备,深圳,84.64,27990.39,58800.0,20100205
000404,华意压缩,专用机械,江西,26.74,55839.6,55962.39,19960619
600962,国投中鲁,软饮料,北京,223.6,25402.0,26221.0,20040622
300529,健帆生物,医疗保健,广东,121.33,4200.0,41200.0,20160802
000929,兰州黄河,啤酒,甘肃,0.0,18563.25,18576.59,19990623
000550,江铃汽车,汽车整车,江西,16.17,51748.8,86321.39,19931201
300140,启源装备,电气设备,陕西,0.0,24196.51,24400.0,20101112
600731,湖南海利,农药化肥,湖南,140.76,25565.31,32731.41,19960802
603936,博敏电子,元器件,广东,121.89,4185.0,16735.0,20151209
603322,超讯通信,通信设备,广东,299.01,2000.0,8000.0,20160728
300386,飞天诚信,软件服务,北京,198.56,15573.37,41804.39,20140626
002272,川润股份,机械基件,四川,398.55,31256.15,41970.0,20080919
600250,南纺股份,商贸代理,江苏,0.0,25869.25,25869.25,20010306
300090,盛运环保,环境保护,安徽,85.17,78697.56,131995.3,20100625
600272,开开实业,服饰,上海,228.34,16000.0,24300.0,20010228
002633,申科股份,机械基件,浙江,0.0,8701.87,15000.0,20111122
600716,凤凰股份,区域地产,江苏,509.66,74060.06,93606.06,19960702
600528,中铁二局,建筑施工,四川,122.15,145920.0,145920.0,20010528
600243,青海华鼎,机床制造,青海,0.0,23685.0,43885.0,20001120
000993,闽东电力,水力发电,福建,25.3,37300.0,37300.0,20000731
000338,潍柴动力,汽车配件,山东,18.12,215945.56,399861.94,20070430
600128,弘业股份,商贸代理,江苏,84.95,24676.75,24676.75,19970901
002709,天赐材料,化工原料,广东,43.05,14442.54,32535.96,20140123
300227,光韵达,元器件,深圳,4308.81,10069.7,13915.0,20110608
002545,东方铁塔,钢加工,山东,126.09,34200.0,131639.75,20110211
600444,国机通用,塑料,安徽,468.83,10500.0,14642.19,20040219
300441,鲍斯股份,机床制造,浙江,133.94,8385.12,34851.12,20150423
300517,海波重科,建筑施工,湖北,151.54,2560.0,10240.0,20160719
300241,瑞丰光电,半导体,深圳,99.2,16357.91,27649.96,20110712
300177,中海达,通信设备,广东,223.53,31297.47,43692.35,20110215
300082,奥克股份,化工原料,辽宁,86.6,67386.14,67392.0,20100520
000927,一汽夏利,汽车整车,天津,0.0,159517.09,159517.41,19990727
600216,浙江医药,化学制药,浙江,35.79,93610.38,96284.79,19991021
600389,江山股份,农药化肥,江苏,539.38,29700.0,29700.0,20010110
000055,方大集团,其他建材,深圳,81.58,41998.67,78909.47,19960415
600775,南京熊猫,通信设备,江苏,118.63,67183.85,91383.85,19961118
000905,厦门港务,港口,福建,36.43,53100.0,53100.0,19990429
300513,恒泰实达,软件服务,北京,398.91,1906.0,7616.0,20160530
002243,通产丽星,塑料,深圳,230.22,36494.89,36494.89,20080528
002073,软控股份,软件服务,山东,0.0,62595.76,81546.82,20061018
000995,*ST皇台,白酒,甘肃,0.0,17740.53,17740.8,20000807
002285,世联行,房产服务,深圳,32.56,169710.81,204496.91,20090828
002046,轴研科技,机械基件,河南,0.0,34056.6,35360.94,20050526
002676,顺威股份,塑料,广东,348.56,40000.0,40000.0,20120525
600784,鲁银投资,普钢,山东,40.47,49661.37,56817.78,19961225
300505,川金诺,化工原料,云南,185.31,2335.0,9336.0,20160315
601800,中国交建,建筑施工,北京,15.42,1174723.5,1617473.5,20120309
600131,岷江水电,水力发电,四川,29.01,39743.8,50412.51,19980402
600995,文山电力,水力发电,云南,23.77,47852.64,47852.64,20040615
000615,京汉股份,化纤,湖北,0.0,35400.28,78025.04,19961016
600980,北矿科技,元器件,北京,169.05,13000.0,15220.99,20040512
300299,富春通信,通信设备,福建,118.37,18503.97,38000.26,20120319
601118,海南橡胶,橡胶,海南,0.0,393117.16,393117.16,20110107
600258,首旅酒店,酒店餐饮,北京,28.45,23140.0,23140.0,20000601
